OBJECTID,COD_SIG,COD_SIG_ESTACIONAMENTO,MORADA,MORADA_DETALHE,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,BALIZADORES,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,EQUIPAMENTO_SERVIDO,FONTE_LEVANTAMENTO,DATA_INSTALACAO,OBS,GlobalID,x,y
15032,2088,2088,Calçada da Ajuda,Cruzamento com Alameda dos Pinheiros,Ajuda,Passeio,HOTSPOT,,0,10,Não,0,Público,Dedicado Micromobilidade,,DGM,4/17/2023 12:00:00 AM,HOTSPOT VIRTUAL,52777069-1632-44b2-a5eb-629571149b55,-1024015.70654768,4679748.79400943
15033,331,331,"Rua Filipe Folque, 1","No primeiro lugar de estacionamento longitudinal junto aos edifícios, a seguir ao cruzamento com Avenida António Augusto Aguiar entre a passadeira e vidrão",Avenidas Novas,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/14/2019 12:00:00 AM,,c5c17e1c-fbaf-44f4-b416-c7a7714b0175,-1018640.99574797,4683192.27980739
15034,332,332,"Avenida António Augusto de Aguiar, 3","Ordem dos Engenheiros, no lugar de estacionamento longitudinal junto aos edifícios, antes do lugar de motociclos ",Avenidas Novas,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/21/2019 12:00:00 AM,,b36bb311-69ad-4e12-8f3e-2936f4a34c3e,-1018458.84874235,4682830.49562516
15035,333,333,"Rua Camilo Castelo Branco, 43","No primeiro lugar de estacionamento longitudinal junto aos edifícios, após lugar reservado a Mobilidade Condicionada",Santo António,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/19/2019 12:00:00 AM,,939c3686-5dd4-4e5f-aaed-ff4db12a60c8,-1018401.92640233,4682490.43375653
15036,334,334,Largo de Andaluz,Ultimo lugar de estacionamento longitudinal antes dos lugares reservados a Tomada e Largada de passageiros de Hotel,Arroios,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/19/2019 12:00:00 AM,,9ea4558d-3f2c-4685-a5e2-1019a431ce1d,-1018314.24663363,4682809.52564124
15037,335,335,"Praça José Fontana, 4","Último lugar de estacionamento longitudinal junto aos edifícios, antes do cruz. com a Av. Duque de Loulé",Arroios,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,2,4,Não,,Público,Partilhado com Micromobilidade,,DEPM,6/1/2022 12:00:00 AM,,0db38a41-89f7-476e-b0ed-493bb6a69b09,-1017887.29352664,4682985.11071874
15038,658,658,Avenida Aquilino Ribeiro Machado,Lateral norte da Gare do Oriente,Parque das Nações,Passeio,BICICLETA,Cascata,1,12,Sim,0,Público,Partilhado com Micromobilidade,,,,,87129f4d-d739-45c9-9d1b-18d8aaa53312,-1012862.48153289,4688596.99108023
15039,659,659,Praça de Dom Luís I,Atrás da entrada do parque,Misericórdia,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,DEPM,2/15/2019 12:00:00 AM,,a82406cd-2ae2-4a69-af63-c8184408c527,-1018168.00990465,4679833.37703381
15040,661,661,"Regueirão dos Anjos, 71",,Arroios,Via,BICICLETA,Sheffield standard,4,8,Não,,Público,Partilhado com Micromobilidade,,DEPM,,,b589dc1e-605e-4881-b09a-7cd0a1e7f46c,-1017010.05974682,4682583.2894054
15041,662,662,Regueirão dos Anjos,Junto ao Beco de Maria Luísa,Arroios,Via,BICICLETA,Sheffield standard,3,6,Não,,Público,Partilhado com Micromobilidade,,,,,326c63da-364a-497b-8291-eb8ca46a86be,-1017005.9159697,4682608.45726023
15042,663,663,"Calçada de Arroios, 71",,Arroios,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,DEPM,,,5f9ae035-b83d-44ef-bf63-01ed78921eef,-1017357.46002233,4683714.7523959
